ID,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
258,  1 58  3.771726 ,  +31  8  3.76966 , -   44.14 , -   45.81 ,    5.8 ,  6.94  
259,  1 59 25.884867 ,  +12 17 41.52273 , +    7.31 , -   37.12 ,   12.1 ,  6.09  
260,  1 59 34.164541 ,  +55 42 52.95820 , +   19.57 , -   14.11 ,    2.8 ,  7.82  
261,  1 59 41.128370 ,  -66  3 59.61216 , +   33.84 , +    5.88 ,    7.6 ,  6.09  
262,  2  0   .819244 ,  -29  3 37.09657 , +   33.19 , +    8.66 ,    5.6 ,  9.28  
263,  2  0 37.354413 ,  -82 30 30.92560 , -    0.08 , -   11.32 ,    5.5 ,  8.05  
264,  2  1 42.376394 ,  -44 42 48.63309 , -   31.64 , -   48.89 ,    8.7 ,  5.15  
265,  2  1 52.326738 ,  -74 26 44.62408 , +    1.33 , -   15.30 ,    1.4 ,  6.80  
266,  2  1 56.612793 ,  -16 34  7.77678 , +   22.51 , -    3.91 ,    5.1 ,  7.71  
267,  2  2  7.177028 ,  +22  6 14.76241 , +    7.29 , -   51.52 ,   18.5 ,  7.21  
268,  2  2 10.727638 ,  -45 50  7.96204 , +   54.39 , -    3.31 ,   14.8 ,  7.71  
269,  2  2 32.914460 ,  -59 50 37.32828 , +   18.88 , -   28.90 ,    4.7 ,  9.03  
270,  2  2 41.392021 ,  + 3 50 50.57444 , +    0.77 , +    8.85 ,    4.8 ,  8.97  
271,  2  2 51.735460 ,  -23 53 11.86186 , -   39.74 , -   31.97 ,    3.4 ,  6.30  
272,  2  2 58.569027 ,  -15 18 21.35469 , +   25.55 , +    7.40 ,    9.9 ,  5.87  
273,  2  3 11.650403 ,  + 0  7 42.62055 , +   76.66 , +   21.26 ,   11.3 ,  5.42  
274,  2  3 40.488500 ,  - 4  6 12.65791 , +    6.98 , -   62.58 ,    4.9 ,  5.61  
275,  2  5 43.555089 ,  +17 38 59.88611 , -   13.39 , -   27.77 ,    9.7 ,  8.20  
276,  2  5 55.050356 ,  + 5 18 20.10914 , +    0.58 , -    2.57 ,    6.3 ,  8.67  
277,  2  6 14.363870 ,  -39 32 20.02961 , +    0.64 , -   10.63 ,    2.4 ,  7.08  
278,  2  7  2.542086 ,  - 8 36 22.89456 , +   55.46 , -   21.38 ,    4.5 ,  6.64  
279,  2  7 40.580513 ,  -33 27 14.88395 , +    9.11 , +   23.22 ,    7.8 ,  9.21  
280,  2  7 43.853149 ,  -57 11 40.77012 , -    9.07 , -   51.10 ,    3.9 ,  7.88  
281,  2  8  7.243830 ,  +11 11 25.73958 , +    9.08 , +    5.15 ,    3.8 ,  7.75  
282,  2  8  8.664088 ,  -27 34 16.69044 , +   60.38 , +    6.14 ,    9.4 ,  7.23  
283,  2  8 10.682023 ,  +69 52 52.40450 , -   13.88 , +    2.06 ,    3.6 ,  8.30  
284,  2  8 29.260246 ,  +37 51 32.68011 , +  154.84 , -   43.43 ,   16.4 ,  4.78  
285,  2  9  4.758048 ,  -22 59 24.16454 , +   17.70 , +    4.94 ,    1.8 ,  7.27  
286,  2  9 25.312246 ,  +81 17 45.40383 , -   34.23 , +    7.13 ,   14.6 ,  6.05  
287,  2  9 34.801213 ,  -24 20 44.82766 , -   31.29 , -   42.18 ,   16.0 ,  6.48  
288,  2  9 46.558167 ,  +13 10 32.99399 , -   10.44 , +    2.55 ,    6.3 ,  7.73  
289,  2  9 59.496335 ,  -72 29 42.49847 , +    8.09 , +    5.02 ,    3.0 ,  8.40  
290,  2 10  7.750878 ,  +53 50 35.12823 , +   26.00 , -   45.25 ,    5.5 ,  6.31  
291,  2 10 24.228706 ,  -76 37 25.33714 , +  117.21 , +   10.46 ,   12.1 ,  6.66  
292,  2 10 35.329451 ,  -35 30 36.56073 , -    8.10 , +    0.62 ,    2.9 ,  7.80  
293,  2 10 45.571929 ,  -12 55 35.93143 , -    8.48 , -    8.33 ,    8.0 ,  7.42  
294,  2 11 22.226719 ,  -10  3  7.77947 , -   26.84 , -  170.72 ,   20.0 ,  6.00  
295,  2 11 25.022733 ,  +31 31 35.02788 , +   35.23 , -   10.62 ,    6.7 ,  6.24  
296,  2 11 35.835333 ,  - 1 49 31.54410 , -   10.66 , -   33.02 ,    9.2 ,  5.94  
297,  2 11 54.306357 ,  -47 10 13.30370 , -   16.63 , -   42.72 ,    1.9 ,  6.82  
298,  2 13 21.145465 ,  +74  1 39.79323 , +   47.25 , -   37.01 ,    7.4 ,  6.25  
299,  2 13 29.319985 ,  +40 47 24.72795 , +   18.31 , -   16.70 ,    9.7 ,  7.37  
300,  2 14 26.423064 ,  +68  7 38.50153 , -   15.32 , +    3.09 ,    6.4 ,  8.08  
301,  2 14 37.981209 ,  +28 41 28.27659 , +  158.30 , -   97.84 ,   16.8 ,  6.35  
302,  2 15 25.020921 ,  -50 53 14.08126 , +    0.93 , -   54.88 ,    4.4 ,  7.90  
303,  2 15 27.337993 ,  +27 21 26.13787 , +  287.06 , -  138.82 ,   26.8 ,  8.12  
304,  2 16 29.297904 ,  -43 15 41.39288 , +   19.89 , -   15.23 ,    2.4 ,  7.61  
305,  2 16 46.628863 ,  +29 57  2.54302 , +   18.15 , -   15.10 ,     .8 ,  8.65  
306,  2 17 10.440753 ,  +23 46  4.20172 , -   30.94 , -   39.90 ,    6.7 ,  6.53  
307,  2 17 59.888065 ,  +57 53 59.35262 , +   61.13 , +    4.87 ,    8.6 ,  5.75  
308,  2 18  9.332901 ,  +45 12 37.33747 , +    2.46 , -    6.68 ,    1.4 ,  8.10  
309,  2 18 34.457177 ,  +21 53 51.17640 , +   36.94 , -   21.34 ,    4.0 ,  7.79  
310,  2 19  6.400905 ,  -82 57 14.52538 , +   18.35 , -    7.25 ,    3.8 ,  7.82  
311,  2 19 40.776607 ,  - 4 20 44.07344 , +   30.39 , +    1.98 ,    5.9 ,  6.50  
312,  2 21 57.050389 ,  -49 31 13.92372 , -    8.41 , +   28.77 ,    3.9 ,  7.37  
313,  2 22   .854606 ,  + 4 44 48.32915 , -   19.57 , +   79.79 ,   25.2 ,  8.26  
314,  2 22 11.750698 ,  -43 11 59.32246 , +   60.52 , +   43.37 ,    7.3 ,  6.30  
315,  2 22 12.396041 ,  - 0 53  5.47421 , -   18.51 , -   46.72 ,   11.6 ,  5.42  
316,  2 22 56.652474 ,  + 8 32 43.65061 , +   22.09 , -    4.46 ,    7.0 ,  7.62  
317,  2 23  9.086014 ,  -56 32 40.33820 , +   21.33 , +   33.84 ,    2.6 ,  8.70  
318,  2 23 17.323253 ,  +38 15  9.83964 , +    3.31 , -    5.01 ,    2.9 ,  7.13  
319,  2 24 20.117140 ,  -25 50 50.85972 , +   31.98 , +   15.37 ,    6.0 ,  6.45  
320,  2 24 45.614176 ,  -28 39  5.38169 , +  119.53 , -   35.25 ,   11.8 ,  7.91  
321,  2 24 49.056833 ,  +10 36 38.01890 , +   20.56 , -   15.34 ,    5.4 ,  5.48  
322,  2 25 27.955848 ,  +32 24 27.64437 , +   16.91 , -    7.72 ,    2.5 ,  7.19  
323,  2 26 16.245272 ,  + 6 17 33.18287 , +   87.06 , -   50.72 ,   22.3 ,  6.79  
324,  2 26 35.217369 ,  -20  2 33.42319 , +   85.77 , +  101.21 ,   11.4 ,  5.89  
325,  2 26 56.231741 ,  +74 35   .12278 , +    5.32 , -   11.61 ,    1.1 ,  8.02  
326,  2 27 28.470273 ,  -75 44 25.26676 , +    5.63 , +   32.74 ,    4.5 ,  7.10  
327,  2 28  1.703117 ,  -33 48 39.74415 , +   18.64 , +    5.11 ,   21.3 ,  5.13  
328,  2 28  4.385385 ,  -64 17 59.16575 , +   34.31 , +    6.19 ,    8.4 ,  6.35  
329,  2 28  7.992671 ,  +80 37  2.58096 , -    8.31 , -    0.36 ,    3.0 ,  8.41  
330,  2 28 52.909471 ,  -40 26  7.08044 , +   14.44 , -    6.05 ,    3.5 ,  8.02  
331,  2 29 46.137981 ,  +46  1 54.53516 , +   44.76 , -   76.73 ,    5.7 ,  6.71  
332,  2 29 58.557406 ,  +57 49 14.57758 , +    0.22 , +    0.28 ,     .4 ,  7.23  
333,  2 30  5.854170 ,  -16 58 39.55726 , -    2.74 , -    3.06 ,    2.8 ,  8.46  
334,  2 30 38.417782 ,  +19 51 19.09253 , +   80.44 , -   34.89 ,   14.4 ,  6.14  
335,  2 31 30.095733 ,  + 2 16  1.86499 , +   22.95 , -    9.09 ,    6.8 ,  5.27  
336,  2 33 58.465333 ,  +71 17 39.31978 , +   60.90 , -   65.65 ,    9.6 ,  6.55  
337,  2 34 25.942648 ,  +11 36 17.32530 , +   35.71 , -   28.59 ,    7.9 ,  6.98  
338,  2 34 30.698301 ,  +76 43  5.34136 , +   71.61 , -   51.02 ,    2.5 ,  6.75  
339,  2 34 35.853137 ,  -21 55 50.05138 , -   30.93 , -   90.39 ,    6.0 ,  7.02  
340,  2 34 38.708970 ,  +24 53 33.93322 , +   63.84 , -   24.08 ,    8.1 ,  8.37  
341,  2 34 39.265131 ,  +22 58  4.33136 , -    8.52 , -   24.32 ,    5.5 ,  8.45  
342,  2 35 19.928844 ,  - 3 33 38.16906 , -  156.00 , -  437.29 ,   27.8 ,  6.83  
343,  2 35 33.929673 ,  +44 38 24.04252 , +    6.53 , -    9.29 ,    3.2 ,  7.56  
344,  2 35 42.336492 ,  -85  1  1.24828 , -    7.35 , -    9.20 ,    4.9 ,  7.22  
345,  2 36 51.545473 ,  -79 48 50.36585 , -   11.20 , -    3.92 ,    3.9 ,  7.66  
346,  2 37 36.068203 ,  +65 44 43.20847 , +   43.24 , -    9.07 ,    4.0 ,  5.80  
347,  2 37 41.800635 ,  - 3 23 46.23412 , +   39.55 , -   44.65 ,   10.2 ,  5.65  
348,  2 37 44.419819 ,  -22 59 30.84599 , +    2.61 , +   41.71 ,    5.0 ,  6.77  
349,  2 38 18.662102 ,  -30 11 38.62217 , +   98.43 , -   73.63 ,   27.9 ,  5.84  
350,  2 38 30.990245 ,  -44 42 27.60642 , -   21.28 , -    6.64 ,    2.9 ,  7.86  
351,  2 38 36.071258 ,  - 7 31 48.60159 , +    3.37 , -    7.14 ,    8.5 ,  8.63  
352,  2 39 23.752309 ,  -14 17 21.47005 , +   32.43 , -  198.58 ,   12.6 ,  7.98  
353,  2 39 26.145260 ,  -25 34  8.63215 , +   21.16 , +   10.03 ,    2.0 ,  7.58  
354,  2 39 46.935752 ,  -35  1 27.52234 , +    1.63 , +    6.33 ,    1.6 ,  7.34  
355,  2 40  1.119483 ,  +62 36  7.17389 , +   29.71 , -   21.46 ,    5.9 ,  7.42  
356,  2 42  8.443836 ,  -46 31 27.98611 , +   10.14 , -   94.05 ,   24.4 ,  6.09  
357,  2 43  2.838126 ,  +55  6 21.67358 , +   34.79 , -   20.84 ,    7.7 ,  5.76  
358,  2 44 19.112767 ,  +17 45 50.13719 , +   36.83 , -   36.17 ,    7.8 ,  6.40  
359,  2 44 59.710421 ,  +54 57 53.04869 , -    5.58 , -    0.14 ,    1.0 ,  8.99  
360,  2 45 32.634854 ,  -67 36 59.82174 , +   66.76 , +   43.96 ,   11.0 ,  4.83  
361,  2 46 14.608399 ,  + 5 35 33.32564 , +   73.68 , -   44.83 ,   15.8 ,  7.88  
362,  2 46 58.322297 ,  +35 59   .68058 , +   53.88 , -    4.40 ,    7.9 ,  6.27  
363,  2 47 23.008415 ,  + 9 18 27.73637 , +    3.93 , -   59.35 ,    4.7 ,  7.68  
364,  2 47 55.922640 ,  -12 27 38.32382 , -    1.72 , -   46.87 ,    4.0 ,  6.63  
365,  2 48  5.434158 ,  -39 48 12.41931 , -    1.68 , +    7.92 ,    2.7 ,  8.67  
366,  2 48 20.022705 ,  +20  0 36.71688 , +   12.87 , -    6.37 ,    6.1 ,  8.38  
367,  2 48 44.421628 ,  -73 50 29.40675 , -    5.25 , +   27.46 ,    3.5 ,  6.94  
368,  2 48 52.370769 ,  -46 20 48.97991 , +   26.69 , +   16.40 ,   15.1 ,  7.74  
369,  2 49  1.487243 ,  -62 48 23.47814 , +   94.24 , +   28.95 ,   19.7 ,  5.25  
370,  2 49 37.893064 ,  + 0 55 15.50814 , +   22.15 , -   24.87 ,    7.9 ,  6.82  
371,  2 50 12.981656 ,  +13 42 37.69035 , +   59.25 , -    8.08 ,   12.0 ,  8.14  
372,  2 50 28.459417 ,  -75  4  1.01269 , -   34.21 , -   27.52 ,    9.9 ,  4.76  
373,  2 50 35.059837 ,  +38 19  7.12197 , +  195.87 , -  108.38 ,   25.5 ,  4.22  
374,  2 51 21.826048 ,  -55  4 29.00657 , +   11.52 , +   21.90 ,   10.3 ,  8.33  
375,  2 51 22.600072 ,  -30 26 14.87410 , +   79.34 , -   48.18 ,   14.0 ,  7.57  
376,  2 51 30.837435 ,  +35  3 35.06629 , +    9.14 , -   63.17 ,    7.9 ,  4.56  
377,  2 51 41.730173 ,  +46 50 30.98298 , -   26.07 , -   25.64 ,    8.2 ,  5.86  
378,  2 53 34.397036 ,  -38 26 13.21518 , +   58.82 , +   34.05 ,   16.8 ,  5.93  
379,  2 54  6.469944 ,  -50 52 17.04494 , -    2.16 , +    7.43 ,    2.9 ,  6.22  
380,  2 55 24.914924 ,  +37 59 57.74485 , -    2.24 , -    6.48 ,     .6 ,  8.46  
381,  2 55 27.488190 ,  -51 15 38.56202 , +   45.78 , -    3.22 ,    8.7 ,  8.36  
382,  2 55 43.349398 ,  -61 27 46.23238 , +    7.79 , +    9.53 ,    1.7 ,  8.03  
383,  2 55 55.391056 ,  +41 48 24.45228 , +   12.32 , -   20.45 ,    6.2 ,  7.92  
384,  2 56 48.451175 ,  -35 22 40.04713 , -   13.17 , +    2.10 ,    6.3 ,  6.58  
385,  2 57  4.573340 ,  + 4 30  3.70105 , +   17.59 , +   23.62 ,    5.8 ,  6.15  
386,  2 57 17.282721 ,  +31 56  3.19283 , +    3.25 , -   30.48 ,    8.4 ,  5.10  
387,  2 57 28.651013 ,  +16 17 37.35327 , +   75.30 , -   40.35 ,    7.2 ,  6.90  
388,  2 57 36.766392 ,  -55  0 47.65785 , +   43.63 , +   44.97 ,   11.9 ,  6.74  
389,  2 58 22.943519 ,  +72 40 22.05801 , +   20.57 , -   25.71 ,    3.7 ,  7.74  
390,  2 58 33.474967 ,  -37 59 32.32675 , +   26.86 , +    2.45 ,    3.4 ,  7.63  
391,  2 58 45.670311 ,  +39 39 45.81059 , +   26.16 , -   42.07 ,   10.0 ,  4.68  
392,  2 58 47.796170 ,  -64  4 16.62792 , +   22.60 , +    4.77 ,   10.4 ,  4.98  
393,  2 58 59.070134 ,  -43 44 53.98609 , +   51.96 , -  167.02 ,   25.6 ,  7.39  
394,  2 59 38.304671 ,  -32 30 25.91038 , +    7.29 , +    9.92 ,    7.9 ,  6.32  
395,  2 59 41.160121 ,  - 2 27 53.83297 , -    4.00 , -   21.66 ,    9.7 ,  5.56  
396,  2 59 55.391951 ,  -13 41   .38114 , +    5.26 , +    7.35 ,    4.9 ,  7.06  
397,  2 59 58.086208 ,  +26 53 19.09315 , +   38.80 , -   18.66 ,    2.2 ,  8.47  
398,  3  0 10.961204 ,  +25 14 44.79997 , -   13.69 , -    7.45 ,    3.7 ,  8.48  
399,  3  0 36.384029 ,  +22 49 44.38497 , +    0.75 , +   10.24 ,    6.8 ,  7.13  
400,  3  0 44.140660 ,  +10 52 13.39802 , +   79.89 , -   34.39 ,    7.3 ,  5.93  
401,  3  0 48.418942 ,  -20 41 37.45079 , +   10.67 , +    3.69 ,    3.2 ,  7.35  
402,  3  1 20.519213 ,  - 8 24 31.40653 , -    5.22 , -   25.36 ,    4.9 ,  9.38  
403,  3  1 37.635352 ,  -28  5 29.59599 , +  279.87 , -  441.21 ,   32.9 ,  5.88  
404,  3  1 51.840127 ,  -69 41  2.31273 , +   61.33 , +    3.88 ,    2.4 ,  7.72  
405,  3  1 54.141258 ,  +26 27 44.47024 , -   14.02 , +    4.52 ,   15.2 ,  5.91  
406,  3  1 56.119177 ,  - 9 57 41.05870 , +   43.86 , -    4.90 ,   11.5 ,  5.84  
407,  3  4  6.188874 ,  - 5 14 35.97604 , -    7.36 , -    0.43 ,     .2 ,  7.18  
408,  3  4 38.066885 ,  + 1 51 48.97707 , +   26.27 , -    0.35 ,    9.6 ,  6.05  
409,  3  4 50.730264 ,  +46 20 14.55577 , -   14.67 , -   15.98 ,    4.8 ,  8.73  
410,  3  5 15.048543 ,  + 0 51 11.37429 , +   43.30 , -   30.53 ,   13.1 ,  8.32  
411,  3  5 32.411244 ,  +56 42 20.58229 , -   13.64 , +   69.60 ,   15.9 ,  4.77  
412,  3  6 15.116129 ,  +85 51 48.87715 , -    9.62 , +    2.54 ,    3.2 ,  8.79  
413,  3  6 23.685995 ,  +13 11 14.10151 , -    2.63 , -   62.63 ,   10.2 ,  5.64  
414,  3  7 12.817437 ,  - 1 48  9.90193 , -   19.03 , -   15.78 ,    1.7 ,  6.95  
415,  3  8 21.109074 ,  +18 47 42.17975 , +   37.97 , -   15.46 ,    5.7 ,  6.24  
416,  3  8 52.445591 ,  -24 53 15.53137 , +  226.34 , +  136.57 ,   33.1 ,  7.29  
417,  3  9 13.541703 ,  -26 42 56.38910 , +    9.60 , +   10.34 ,    6.9 ,  7.66  
418,  3  9 33.815971 ,  -31 15 11.96777 , +   15.76 , +   33.71 ,    3.0 ,  8.09  
419,  3  9 35.491611 ,  -18  3 56.15236 , +   11.62 , -    4.91 ,    1.3 ,  8.97  
420,  3 10  3.982833 ,  -50 49 56.57236 , +   98.51 , +   28.94 ,   12.8 ,  7.57  
421,  3 10 11.151081 ,  +68 21 46.52523 , +   13.44 , -   10.74 ,    2.4 ,  8.94  
422,  3 10 52.272542 ,  +32 13 35.36360 , +   52.03 , -   17.73 ,    5.2 ,  7.26  
423,  3 11   .186620 ,  +53  8 35.86549 , -    4.66 , -   12.03 ,    8.1 ,  7.37  
424,  3 11 31.711111 ,  +60 38  6.43221 , +    7.11 , -   19.97 ,    7.0 ,  7.31  
425,  3 11 56.269781 ,  +74 23 37.17050 , +   14.42 , -   86.52 ,   20.1 ,  4.85  
426,  3 12 56.602159 ,  -42 22 26.31047 , +   36.09 , +   34.18 ,    7.8 ,  8.26  
427,  3 13  8.760207 ,  +25 30 54.31013 , +   14.86 , -    9.32 ,    5.1 ,  8.60  
428,  3 13 54.901534 ,  - 6 39 52.98095 , +   74.27 , -  138.47 ,   11.5 ,  7.74  
429,  3 14 45.887979 ,  -33 51 40.34055 , +   42.17 , +   24.12 ,   13.5 ,  8.79  
430,  3 14 55.694187 ,  + 4 18   .65616 , +    3.38 , -    5.51 ,    4.1 ,  8.85  
431,  3 15 15.163058 ,  -20  1  8.54176 , +   28.17 , -    4.85 ,    5.2 ,  7.02  
432,  3 17 22.401997 ,  + 9  6 21.49038 , +   27.89 , -    2.62 ,    5.4 ,  9.28  
433,  3 17 26.595838 ,  -47 45  5.99424 , -    7.13 , +   29.88 ,    6.8 ,  5.84  
434,  3 17 45.754481 ,  +39 17   .14071 , +   22.78 , -   17.00 ,    5.3 ,  5.97  
435,  3 17 59.074503 ,  -66 55 36.66692 , +   57.27 , +   13.59 ,   17.2 ,  6.03  
436,  3 18 15.172929 ,  +12 49 25.80791 , +    9.71 , -   10.56 ,    5.7 ,  7.76  
437,  3 18 25.733958 ,  -24  6  6.50615 , -   13.06 , +    3.87 ,    7.7 ,  8.54  
438,  3 18 43.824907 ,  +34 13 21.54796 , +    1.36 , -    8.84 ,    2.2 ,  4.85  
439,  3 19  9.824723 ,  -65 43 40.91468 , -   29.43 , +   11.55 ,    9.3 ,  7.31  
440,  3 19 27.350014 ,  +36 52 34.49923 , +    5.79 , -   24.37 ,    3.2 ,  7.94  
441,  3 19 59.240715 ,  +17 30  3.47296 , +   33.35 , +   44.82 ,    7.2 ,  7.77  
442,  3 20 20.361260 ,  +29  2 54.45345 , -    7.53 , -   16.08 ,    5.0 ,  4.47  
443,  3 21 26.558574 ,  +43 19 46.73760 , -   60.57 , -    0.99 ,   21.0 ,  4.96  
444,  3 22 11.640039 ,  -58 41 53.90608 , +   19.78 , -   10.70 ,    2.3 ,  7.66  
445,  3 22 16.285884 ,  -25 35 16.09553 , +    5.23 , -    0.11 ,    7.2 ,  6.36  
446,  3 23 17.331293 ,  -17 26 22.12805 , -   14.79 , +   31.37 ,    6.1 ,  6.70  
447,  3 23 36.305103 ,  + 0 54 36.31182 , -    4.30 , -   92.19 ,    8.8 ,  6.47  
448,  3 24  7.823439 ,  -20 55 52.85228 , -   24.08 , -   26.35 ,    6.4 ,  7.14  
449,  3 24 10.129531 ,  +12 37 46.53130 , +   25.62 , -   20.64 ,    7.0 ,  6.03  
450,  3 24 18.475002 ,  +24 43 26.63875 , +   15.91 , -   49.98 ,   14.1 ,  5.50  
451,  3 24 28.429934 ,  -45 51 12.74467 , +    9.69 , +    7.48 ,    2.9 ,  8.17  
452,  3 24 34.483187 ,  +22  2 25.14532 , +   24.38 , -   17.82 ,    7.7 ,  6.91  
453,  3 25  9.649119 ,  - 4 28 41.53134 , +   44.12 , +   60.89 ,    7.3 ,  7.22  
454,  3 25 36.252871 ,  -69 20 11.17039 , -    0.36 , +   64.91 ,   25.4 ,  5.96  
455,  3 26  5.216755 ,  +42 35 35.81205 , -    2.98 , -    4.31 ,    1.1 ,  9.06  
456,  3 26 44.440515 ,  - 9 31  8.61950 , -    1.71 , -    8.78 ,    3.5 ,  9.29  
457,  3 28 17.268804 ,  -57 52 56.02357 , -    2.37 , -   15.34 ,    3.3 ,  6.69  
458,  3 28 46.651761 ,  +30 22 31.23120 , -    1.25 , -   10.33 ,    2.0 ,  7.06  
459,  3 29  3.803513 ,  + 3 14 55.34121 , -    1.80 , +    7.93 ,    7.1 ,  6.41  
460,  3 29 36.027090 ,  -12 40 29.05435 , +    7.58 , +    4.76 ,    7.7 ,  5.57  
461,  3 30 13.579241 ,  -41 22 11.77448 , -   10.74 , -  172.67 ,   29.3 ,  6.12  
462,  3 30 45.420010 ,  + 6 11 19.33331 , +   42.53 , -   16.50 ,    6.3 ,  5.93  
463,  3 31  9.137335 ,  +39  8 51.84028 , +   39.80 , -   29.06 ,    8.4 ,  7.31  
464,  3 31 17.020323 ,  -55 14 57.14022 , +   23.26 , +   18.95 ,    3.1 ,  7.12  
465,  3 32 26.259888 ,  +46  3 24.69915 , -   52.65 , -   75.07 ,   27.4 ,  5.30  
466,  3 32 51.557653 ,  -61  1   .74048 , +   77.42 , +   47.44 ,    7.6 ,  6.42  
467,  3 35 12.313056 ,  +73 20 48.93801 , +    9.29 , -   24.76 ,    5.3 ,  6.56  
468,  3 36 24.984841 ,  -79  5 55.32677 , -   14.54 , -   24.34 ,    6.3 ,  6.84  
469,  3 36 26.177807 ,  +52 55 53.05265 , -    0.80 , -   10.40 ,    4.2 ,  7.21  
470,  3 36 29.370417 ,  -52 46 39.71585 , +   40.11 , +   21.53 ,    4.5 ,  7.66  
471,  3 36 58.025868 ,  +23 12 39.84962 , -   13.87 , -   18.28 ,    7.4 ,  6.72  
472,  3 37  8.233086 ,  +65 21 12.99316 , -    4.07 , -   19.38 ,    5.7 ,  8.10  
473,  3 38   .421174 ,  -71 45 35.77774 , +    1.45 , +    3.20 ,    2.5 ,  8.69  
474,  3 38 13.058403 ,  +49  4 58.89486 , -   11.42 , -    4.18 ,    4.0 ,  7.18  
475,  3 38 42.201310 ,  -35 12 15.30077 , +   10.58 , +   19.92 ,    3.8 ,  7.04  
476,  3 39 17.053261 ,  +13 53 29.37978 , +   12.65 , -   99.57 ,   14.6 ,  6.67  
477,  3 39 29.021521 ,  -39  7 15.38698 , +   38.00 , +   22.30 ,    3.2 ,  9.31  
478,  3 39 36.714939 ,  -17 21 54.32360 , -    6.05 , -   17.13 ,    7.1 ,  6.86  
479,  3 39 51.121461 ,  + 3  3 24.71070 , -   37.95 , +    8.64 ,    8.1 ,  5.55  
480,  3 39 57.403368 ,  -58  1  7.50626 , -    4.61 , +   14.26 ,    2.8 ,  8.69  
481,  3 40 38.332870 ,  - 5 12 38.54233 , -    0.41 , -    3.68 ,    4.4 ,  5.53  
482,  3 40 56.100664 ,  +41 11 19.64617 , -   29.31 , +   88.28 ,   12.2 ,  7.17  
483,  3 41 11.939959 ,  +58 50 41.75223 , +   38.83 , -   63.78 ,   11.5 ,  6.84  
484,  3 41 49.065008 ,  + 7 19  4.78893 , -    6.06 , -   11.80 ,    4.7 ,  8.18  
485,  3 42  3.459850 ,  -84  5   .54732 , -    9.51 , +   31.68 ,    5.1 ,  7.67  
486,  3 42  9.855563 ,  -45 57 28.39898 , -   72.42 , +   13.46 ,   25.3 ,  6.50  
487,  3 42 18.947320 ,  +19 42   .91311 , +    4.10 , -   13.26 ,    7.9 ,  5.68  
488,  3 43 54.797373 ,  - 7 52 57.08771 , -   14.67 , -   19.22 ,    2.2 ,  7.64  
489,  3 44  5.770859 ,  +44 53  4.91828 , +    4.17 , -    6.13 ,    1.1 ,  7.52  
490,  3 44 13.266147 ,  -43 14 10.35459 , +    0.60 , +    5.01 ,    1.8 ,  8.12  
491,  3 44 31.432389 ,  +36 27 36.38048 , +   49.01 , -   40.39 ,    9.8 ,  5.60  
492,  3 44 40.908439 ,  +46  5 59.32478 , -    2.50 , -   24.06 ,    5.6 ,  6.10  
493,  3 45  7.121471 ,  +74 32 33.27893 , +   12.77 , +   17.81 ,    3.6 ,  6.71  
494,  3 45 33.122995 ,  -25 54 55.71713 , -   24.27 , +    0.13 ,    7.3 ,  6.97  
495,  3 45 43.022125 ,  -30  5 25.41711 , +    1.24 , +    7.27 ,    3.1 ,  8.52  
496,  3 46   .939545 ,  +67 12  5.77464 , +   82.29 , -  113.89 ,   18.0 ,  5.79  
497,  3 46 50.579424 ,  +35 27 13.42665 , -    4.34 , -    1.16 ,     .7 ,  9.28  
498,  3 47  8.915721 ,  +87 53 48.25383 , +   42.35 , -   43.85 ,    8.4 ,  8.81  
499,  3 47 19.716052 ,  -50 45 14.46896 , -   23.94 , -   57.46 ,    5.5 ,  6.58  
500,  3 47 56.040608 ,  -30 10  4.37448 , +   26.13 , -  230.88 ,   11.5 ,  5.52  
501,  3 48 30.766077 ,  + 9 38 45.41299 , +   69.95 , +   10.25 ,    4.6 ,  6.68  
502,  3 48 38.953816 ,  + 0 13 40.28852 , +   64.29 , -    5.48 ,    6.5 ,  5.91  
503,  3 48 41.890786 ,  +25 48  2.67246 , -    1.92 , -    5.17 ,    2.5 ,  8.44  
504,  3 50 25.072742 ,  +52 28 54.84373 , -    1.41 , -    2.84 ,    1.4 ,  6.97  
505,  3 50 29.907862 ,  -60 25 39.68808 , +   13.66 , +   17.90 ,    2.3 ,  7.77  
506,  3 51 32.678049 ,  +61 21 52.55839 , -    1.84 , -   14.30 ,    1.6 ,  8.52  
507,  3 51 36.622134 ,  +22  1 52.87516 , +   15.48 , -   30.77 ,    8.6 ,  6.71  
508,  3 52 17.111498 ,  - 0 39 20.18780 , +   47.72 , +    2.64 ,    9.3 ,  6.82  
509,  3 53 27.216903 ,  -41 13 21.74402 , +   28.81 , +   66.38 ,   24.1 ,  7.22  
510,  3 53 38.946583 ,  -34 43 56.27233 , +   31.58 , -    1.06 ,    9.1 ,  5.11  
511,  3 54 34.961443 ,  - 9 31 13.32953 , -    5.53 , -    4.43 ,    8.4 ,  7.06  
512,  3 54 58.618713 ,  -14 54 21.31888 , +    4.01 , -   13.20 ,    3.2 ,  7.11  
513,  3 55 46.370667 ,  +56 55  8.47859 , +   26.34 , -   30.71 ,    5.6 ,  6.92  
514,  3 55 58.173564 ,  +47 52 17.11694 , +   18.00 , -   20.08 ,    3.8 ,  5.39  
515,  3 56 37.758494 ,  + 3  3 28.38727 , +   47.22 , -    0.30 ,    4.7 ,  7.02  
