 FK6  ,        Name        ,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
2593, 23 Lyn             ,  7 40 49.535802 ,  +57  4 58.30590 , -   20.52 , -    5.14 ,    4.6 ,  6.09  
2595,                    ,  7 40 58.518287 ,  +23  1  6.69696 , -    7.20 , -   12.90 ,    2.1 ,  5.93  
2594,                    ,  7 41 12.398283 ,  +48  7 53.52473 , -   53.97 , -  130.37 ,   10.0 ,  5.58  
4692,                    ,  7 41 12.699960 ,  +21 26 48.82468 , +   13.40 , -   40.75 ,    5.2 ,  7.87  
4694,                    ,  7 41 56.339485 ,  -82 20 30.60906 , +   20.46 , -   31.79 ,    5.7 ,  7.52  
2597,                    ,  7 42  3.218567 ,  +14 12 30.61444 , -    0.96 , -   10.57 ,    3.1 ,  5.55  
2600,                    ,  7 42 10.218109 ,  -58 37 51.30783 , -    5.00 , +    6.79 ,    3.0 ,  6.40  
4696,                    ,  7 42 51.981653 ,  -71 32 30.90899 , -    7.00 , +   23.43 ,    2.7 ,  7.28  
2603,                    ,  7 43 41.928859 ,  -40 56  1.48321 , +  130.96 , -  171.04 ,   15.1 ,  5.12  
2598,                    ,  7 43 47.217849 ,  +43 47 40.74808 , -   92.03 , -   16.17 ,   11.5 ,  7.18  
4697,                    ,  7 44   .773851 ,  -67 12  7.32356 , -    0.78 , +   32.22 ,    2.3 ,  7.62  
4698,                    ,  7 44 44.657186 ,  -62 27  7.11629 , -    8.12 , +   31.01 ,    2.2 ,  8.04  
4699,                    ,  7 44 56.192061 ,  +39 33 22.91346 , +   28.63 , -  684.82 ,   29.2 ,  6.74  
2605,                    ,  7 45 15.295916 ,  -37 58  6.90318 , -   10.81 , +    5.87 ,    2.3 ,  3.62  
